machine learning trainer start

Train on domain data, test on woz single class: Accuracy=165/300=55% Precision=85% Recall=58% F1=69% timePerSample=0[ms]

Train on domain data, test on woz multi class: Accuracy=11/100=11% Precision=90% Recall=41% F1=56% timePerSample=0[ms]

Train on grammar data, test on woz single class: Accuracy=148/300=49% Precision=87% Recall=53% F1=66% timePerSample=0[ms]

Train on grammar data, test on woz multi class: Accuracy=11/100=11% Precision=94% Recall=35% F1=51% timePerSample=1[ms]

Train on woz single class, test on woz multi class: Accuracy=47/100=47% Precision=98% Recall=50% F1=66% timePerSample=1[ms]

Train on woz multi class, test on woz single class: Accuracy=203/300=68% Precision=69% Recall=99% F1=81% timePerSample=0[ms]

Train on mixed, test on mixed: Accuracy=148/200=74% Precision=90% Recall=89% F1=89% timePerSample=0[ms]

Train on mixed, test on mixed (2): Accuracy=162/200=81% Precision=94% Recall=88% F1=91% timePerSample=0[ms]

start 5-fold cross-validation on 45 grammar samples and 400 collected samples
partition #0: 1 [ms]
partition #1: 3791 [ms]
partition #2: 7466 [ms]
partition #3: 11386 [ms]
partition #4: 15305 [ms]

end 5-fold cross-validation: 19168 [ms]

MACRO AVERAGE SUMMARY: Accuracy=67/80=85% Precision=95% Recall=92% F1=94% timePerSample=1[ms]

MICRO AVERAGE SUMMARY: Accuracy=339/400=85% Precision=95% Recall=93% F1=94% timePerSample=48[ms]

start training on 445 samples
end training on 445 samples, 4637 [ms]

test on training data:
	I offer no agreement about the salary: expected {"Offer": {"Salary": "No agreement"}} but got 
	I offer no agreement about the job description: expected {"Offer": {"Job Description": "No agreement"}} but got 
	I offer no agreement about the pension fund: expected {"Offer": {"Pension Fund": "No agreement"}} but got 
	I offer no agreement about the company car: expected {"Offer": {"Leased Car": "No agreement"}} but got 
	I offer no agreement about the promotion track: expected {"Offer": {"Promotion Possibilities": "No agreement"}} but got 
	I offer no agreement about the working hours: expected {"Offer": {"Working Hours": "No agreement"}} but got 
	I accept your offer about the salary: expected {"Accept": "Salary"} but got 
	I accept your offer about the job description: expected {"Accept": "Job Description"} but got 
	I accept your offer about the pension fund: expected {"Accept": "Pension Fund"} but got 
	I accept your offer about the company car: expected {"Accept": "Leased Car"} but got 
	I accept your offer about the promotion track: expected {"Accept": "Promotion Possibilities"} but got 
	I accept your offer about the working hours: expected {"Accept": "Working Hours"} but got 
	I reject your offer about the salary: expected {"Reject": "Salary"} but got 
	I reject your offer about the job description: expected {"Reject": "Job Description"} but got 
	I reject your offer about the pension fund: expected {"Reject": "Pension Fund"} but got 
	I reject your offer about the company car: expected {"Reject": "Leased Car"} but got 
	I reject your offer about the promotion track: expected {"Reject": "Promotion Possibilities"} but got 
	I reject your offer about the working hours: expected {"Reject": "Working Hours"} but got 
	I insist on my offer about the salary: expected {"Insist": "Salary"} but got 
	I insist on my offer about the job description: expected {"Insist": "Job Description"} but got 
	I insist on my offer about the pension fund: expected {"Insist": "Pension Fund"} but got 
	I insist on my offer about the company car: expected {"Insist": "Leased Car"} but got 
	I insist on my offer about the promotion track: expected {"Insist": "Promotion Possibilities"} but got 
	I insist on my offer about the working hours: expected {"Insist": "Working Hours"} but got 
	hi ok but 10% pension: expected {"Accept": "previous"},{"Offer": {"Pension Fund": "10%"}} but got {"Offer": {"Pension Fund": "10%"}}
	I can offer you the job without a car: expected {"Accept": "previous"},{"Offer": {"Leased Car": "Without leased car"}} but got {"Offer": {"Leased Car": "Without leased car"}}
	hi I need a good programmer that will be able to hard and long hours: expected {"Offer": {"Job Description": "Programmer"}} but got {"Offer": {"Job Description": "Programmer"}},{"Offer": {"Working Hours": "10 hours"}}
	hi I need a good programmer that will be able to hard and long hours: expected {"Offer": {"Working Hours": "10 hours"}} but got {"Offer": {"Job Description": "Programmer"}},{"Offer": {"Working Hours": "10 hours"}}
Accuracy=417/445=94% Precision=100% Recall=96% F1=98% timePerSample=1[ms]

test on training data after reload:
machine learning trainer end
